availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
78;0;1;-30;60;20221130022945
192;0;1;4;200;20221130185501
117;0;1;2;120;20221129191801
116;0;1;3;120;20221129183601
117;0;1;2;120;20221129181201
70;0;1;-16;60;20221130071001
78;0;1;-30;60;20221130032501
136;0;1;-13;120;20221129224501
123;0;1;-2;120;20221129204601
138;0;1;-15;120;20221130014001
121;0;1;0;120;20221129200401
209;0;1;-4;200;20221130233501
194;0;1;3;200;20221130184036
120;0;1;0;120;20221129172001
195;0;1;2;200;20221130202501
209;0;1;-4;200;20221130230501
40;0;1;33;60;20221130124001
195;0;1;2;200;20221130203501
191;0;1;4;200;20221130171001
126;0;1;-5;120;20221129211401
138;0;1;-15;120;20221130010501
183;0;1;8;200;20221130151001
115;0;1;4;120;20221129184801
40;0;1;33;60;20221130124501
66;0;1;-10;60;20221130074501
118;0;1;1;120;20221129180001
179;0;1;10;200;20221130130501
138;0;1;-15;120;20221130004001
78;0;1;-30;60;20221130035501
120;0;1;0;120;20221129172401
136;0;1;-13;120;20221129223001
41;0;1;31;60;20221130112001
138;0;1;-15;120;20221129232001
207;0;1;-3;200;20221130222001
115;0;1;4;120;20221129185801
118;0;1;1;120;20221129181401
126;0;1;-5;120;20221129210801
42;0;1;30;60;20221130115001
138;0;1;-15;120;20221130013001
129;0;1;-7;120;20221129214001
78;0;1;-30;60;20221130040001
122;0;1;-1;120;20221129173601
128;0;1;-6;120;20221129213601
72;0;1;-20;60;20221130062501
49;0;1;18;60;20221130093501
78;0;1;-30;60;20221130044501
192;0;1;4;200;20221130190501
119;0;1;0;120;20221129175201
183;0;1;8;200;20221130152501
178;0;1;11;200;20221130141501
119;0;1;0;120;20221129182201
128;0;1;-6;120;20221129212801
120;0;1;0;120;20221129200001
75;0;1;-25;60;20221130060001
43;0;1;28;60;20221130110001
115;0;1;4;120;20221129190401
115;0;1;4;120;20221129190801
43;0;1;28;60;20221130105001
210;0;1;-5;200;20221130231001
189;0;1;5;200;20221130164001
59;0;1;1;60;20221130080501
118;0;1;1;120;20221129175601
52;0;1;13;60;20221130085001
78;0;1;-30;60;20221130034501
78;0;1;-30;60;20221130033501
66;0;1;-10;60;20221130074001
138;0;1;-15;120;20221129230001
124;0;1;-3;120;20221129203801
42;0;1;30;60;20221130115501
139;0;1;-15;120;20221129233001
118;0;1;1;120;20221129172801
182;0;1;9;200;20221130145501
187;0;1;6;200;20221130160001
59;0;1;1;60;20221129170801
180;0;1;10;200;20221130143501
138;0;1;-15;120;20221130010001
201;0;1;0;200;20221130214001
41;0;1;31;60;20221130111501
120;0;1;0;120;20221129171401
183;0;1;8;200;20221130153001
210;0;1;-5;200;20221130232001
45;0;1;25;60;20221130100501
212;0;1;-6;200;20221201001501
212;0;1;-6;200;20221201002001
212;0;1;-6;200;20221201002501
212;0;1;-6;200;20221201003001
212;0;1;-6;200;20221201003501
212;0;1;-6;200;20221201004001
212;0;1;-6;200;20221201004501
212;0;1;-6;200;20221201005001
211;0;1;-5;200;20221201005501
